C (g/200ml),I
0.0,1243989.121585929
0.0,1193322.524353773
0.0,1119801.7263226262
0.0,1210299.7338290955
0.0,1179635.374299584
2.5,-190282.36744520557
2.5,-110169.25016224309
2.5,-32787.16659462883
2.5,-94674.35723143432
2.5,-100591.23423606652
5.0,-183377.40014833922
5.0,-111486.58615932259
5.0,-80839.5749220833
5.0,-121959.10485418525
5.0,-84428.26784901798
10.0,-114911.39325217839
10.0,-80543.55341871182
10.0,-60683.46297369717
10.0,-112494.05208234268
10.0,-79495.57596935518
25.0,-55853.49164296221
25.0,-32122.206876044627
25.0,-12083.666719937988
25.0,-129975.06921539182
25.0,-87363.59055860434
