C (g/200ml),I
0.0,1479211.4236980153
0.0,1428544.826465856
0.0,1355024.0284347108
0.0,1445522.0359411775
0.0,1414857.6764116676
2.5,44939.93466687818
2.5,125053.05194984088
2.5,202435.13551745532
2.5,140547.94488064977
2.5,134631.0678760177
5.0,51844.90196374463
5.0,123735.71595276147
5.0,154382.72719000094
5.0,113263.19725789917
5.0,150794.03426306602
10.0,120310.90885990558
10.0,154678.7486933721
10.0,174538.83913838686
10.0,122728.25002974132
10.0,155726.72614272893
25.0,179368.810469122
25.0,203100.09523603957
25.0,223138.63539214624
25.0,105247.23289669285
25.0,147858.71155347952
