C (g/200ml),I
0.0,4577078.3912334675
0.0,4531248.126935617
0.0,4534699.954604925
0.0,4596097.223002476
0.0,4529120.103580984
2.5,416760.4530457975
2.5,160741.5041626232
2.5,360773.6859883417
2.5,108614.03155321883
2.5,92334.59687280912
5.0,21006.38703496215
5.0,3664.6151353690293
5.0,68066.35068425912
5.0,59434.589231608246
5.0,1824.1757181391877
10.0,10764.451041590579
10.0,-77943.38096585801
10.0,-41771.4371126054
10.0,-4791.050633122822
10.0,-30463.26556466467
25.0,-11579.535110060267
25.0,-4204.950587118619
25.0,57748.247683311
25.0,26510.871203718227
25.0,-15854.991815866928
