C,A1,D1,D2,ex1,,
0,1414857.676,4529120.104,6508600.671,1179635.374,,
0,1428544.826,4531248.127,6550155.302,1193322.524,,
0,1479211.424,4577078.391,6572603.404,1243989.122,,
0,1445522.036,4596097.223,6590938.202,1210299.734,,
0,1355024.028,4534699.955,6628822.165,1119801.726,,
2.5,134631.0679,92334.59687,648420.3256,-100591.2342,,
2.5,140547.9449,108614.0316,686565.8672,-94674.35723,,
2.5,202435.1355,360773.686,955616.342,-32787.16659,,
2.5,125053.0519,160741.5042,1273760.612,-110169.2502,,
2.5,44939.93467,416760.453,1582024.921,-190282.3674,,
5,113263.1973,59434.58923,200352.6159,-121959.1049,,
5,150794.0343,1824.175718,220316.1242,-84428.26785,,
5,123735.716,3664.615135,268439.6404,-111486.5862,,
5,154382.7272,68066.35068,275952.9503,-80839.57492,,
5,51844.90196,21006.38703,357272.7458,-183377.4001,,
10,154678.7487,-77943.38097,89648.46308,-80543.55342,,
10,122728.25,-4791.050633,90552.14125,-112494.0521,,
10,155726.7261,-30463.26556,103112.9431,-79495.57597,,
10,120310.9089,10764.45104,113144.7926,-114911.3933,,
10,174538.8391,-41771.43711,143709.6677,-60683.46297,,
25,147858.7116,-15854.99182,86608.74187,-87363.59056,,
25,203100.0952,-4204.950587,89759.4222,-32122.20688,,
25,179368.8105,-11579.53511,95337.34279,-55853.49164,,
25,105247.2329,26510.8712,113936.0706,-129975.0692,,
25,223138.6354,57748.24768,157361.7715,-12083.66672,,
0,,,,,14442283.15,
0,,,,,14445822.72,
0,,,,,14438906.49,
0,,,,,14423526.83,
0,,,,,14410735.98,
1.67,,,,,3233795.195,
1.67,,,,,3198965.161,
1.67,,,,,3122766.046,
1.67,,,,,3365566.139,
1.67,,,,,3358364.874,
3.33,,,,,812516.5049,
3.33,,,,,732503.1133,
3.33,,,,,627717.932,
3.33,,,,,589117.3887,
3.33,,,,,720389.8489,
6.67,,,,,67722.67236,
6.67,,,,,58436.76131,
6.67,,,,,83009.93482,
6.67,,,,,76922.14682,
6.67,,,,,64656.67936,
16.67,,,,,-44138.55041,
16.67,,,,,-40685.41302,
16.67,,,,,-40307.61655,
16.67,,,,,-32994.296,
16.67,,,,,-39221.89717,
0,,,,,,13534009.05
0,,,,,,13524004.7
0,,,,,,13509276.47
0,,,,,,13497526.27
0,,,,,,13501956.22
0,,,,,,13495592.04
0,,,,,,13496740.22
0,,,,,,13499418.9
0,,,,,,13503933.33
0,,,,,,13502370.2
0.5,,,,,,10348654.05
0.5,,,,,,10278008.96
0.5,,,,,,10682334.2
0.5,,,,,,10295972.84
0.5,,,,,,9579601.037
0.5,,,,,,10529487.56
0.5,,,,,,10336977.05
0.5,,,,,,10517979.54
0.5,,,,,,10292275.09
0.5,,,,,,9490467.323
1,,,,,,6581359.245
1,,,,,,6500712.591
1,,,,,,6560924.061
1,,,,,,6553806.036
1,,,,,,6322546.212
1,,,,,,6527515.28
1,,,,,,6537056.824
1,,,,,,6515008.493
1,,,,,,6665747.419
1,,,,,,6492373.198
1.5,,,,,,4426642.837
1.5,,,,,,4867798.671
1.5,,,,,,4438254.058
1.5,,,,,,4326167.883
1.5,,,,,,4456898.276
1.5,,,,,,4699315.621
1.5,,,,,,4522892.568
1.5,,,,,,4578041.456
1.5,,,,,,4322017.634
1.5,,,,,,4608827.107
2,,,,,,2656462.803
2,,,,,,2618290.648
2,,,,,,2733362.545
2,,,,,,2829305.584
2,,,,,,2476577.84
2,,,,,,2652480.631
2,,,,,,2689860.835
2,,,,,,2264884.134
2,,,,,,2782401.944
2,,,,,,2739372.734
