C (g/L),I
0.0,13534009.049089963
0.0,13524004.703073023
0.0,13509276.467552703
0.0,13497526.272698047
0.0,13501956.221153766
0.0,13495592.043370651
0.0,13496740.21524933
0.0,13499418.895161215
0.0,13503933.325738419
0.0,13502370.200470345
0.5,10348654.051209673
0.5,10278008.96215245
0.5,10682334.196305564
0.5,10295972.843537576
0.5,9579601.036724685
0.5,10529487.563722381
0.5,10336977.047033902
0.5,10517979.54330123
0.5,10292275.090407938
0.5,9490467.323375806
1.0,6581359.244753033
1.0,6500712.591372584
1.0,6560924.060790103
1.0,6553806.035975038
1.0,6322546.2118088845
1.0,6527515.279676944
1.0,6537056.823840924
1.0,6515008.492563324
1.0,6665747.41939073
1.0,6492373.197680996
1.5,4426642.837122792
1.5,4867798.671442138
1.5,4438254.058317667
1.5,4326167.882848583
1.5,4456898.27566713
1.5,4699315.621455394
1.5,4522892.568353339
1.5,4578041.456446254
1.5,4322017.63428985
1.5,4608827.106837473
2.0,2656462.802836065
2.0,2618290.647712734
2.0,2733362.544981515
2.0,2829305.5839022514
2.0,2476577.839699647
2.0,2652480.6313430048
2.0,2689860.8349620653
2.0,2264884.1342763593
2.0,2782401.9437621837
2.0,2739372.7338452637
